状态,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,ID,[,],else,float,if,int,num,return,void,while,{,},#,<FTYPE>,<Program>,<S>,<call>,<if语句>,<relop>,<relop和加法表达式>,<return语句>,<while语句>,<下标数组>,<中括号和数字>,<乘除因子>,<内部变量声明>,<内部声明>,<函数声明>,<加减项>,<加法表达式>,<参数>,<参数列表>,<变量声明>,<因子>,<声明>,<声明串>,<声明类型>,<实参>,<实参列表>,<形参>,<数组声明>,<表达式>,<表达式循环>,<语句>,<语句串>,<语句块>,<赋值语句>,<逗号和参数>,<逗号和表达式>,<项>,
0, , , , , , , , , , , , , , , , , , , ,s6, ,s4, , ,s5, , , , , ,1, , , , , , , , , , , , , , , , , , , ,3,2, , , , , , , , , , , , , , ,
1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
2, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
3, , , , , , , , , , , , , , , , , , , ,s6, ,s4, , ,s5, , , ,r2, , , , , , , , , , , , , , , , , , , , , ,3,7, , , , , , , , , , , , , , ,
4, , , , , , , , , , , , , , , ,s8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
5, , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
6, , , , , , , , , , , , , , , ,s10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
7, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
8, ,s16, , , , , , ,s15, , , , , , , ,s18, , , , , , , , , , , , , , , , , , , , , , ,17, , , ,13, , , , ,12, , , ,11, , , ,14, , , , , , , , , ,
9, ,s16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , ,
10, ,s16, , , , , , ,s15, , , , , , , ,s18, , , , , , , , , , , , , , , , , , , , , , ,17, , , ,13, , , , ,12, , , ,20, , , ,14, , , , , , , , , ,
11, , , , , , , , , , , , , , , , , , , ,r4, ,r4, , ,r4, , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
12, , , , , , , , , , , , , , , , , , , ,r7, ,r7, , ,r7, , , ,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
13, , , , , , , , , , , , , , , , , , , ,r8, ,r8, , ,r8, , , ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
14, , , , , , , , , , , , , , , , , , , ,r9, ,r9, , ,r9, , , ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
15, , , , , , , , , , , , , , , , , , , ,r10, ,r10, , ,r10, , , ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
16, , , , , , , , , , , , , , , , , , , ,s26, ,s25, , ,s23, , , , , , , , , , , , , , , , , , , , , ,24,22, , , , , , , ,21, , , , , , , , , , ,
17, , , , , , , , , , , , , , , , , , , ,r37, ,r37, , ,r37, , , ,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
18, , , , , , , , , , , , , , , , , , , , , , ,s27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
19, , , , , , , , , , , , , , , , , , , ,r5, ,r5, , ,r5, , , ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
20, , , , , , , , , , , , , , , , , , , ,r6, ,r6, , ,r6, , , ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
21, , ,s28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
22, , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
23, , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
24, , ,r16, , ,s30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29, , ,
25, , , , , , , , , , , , , , , ,s31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
26, , , , , , , , , , , , , , , ,s32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
27, , , , , , , , , , , , , , , , , ,s33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
28, , , , , , , , , , , , , , , , , , , , , , , , , , ,s35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34, , , , ,
29, , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
30, , , , , , , , , , , , , , , , , , , ,s26, ,s25, , , , , , , , , , , , , , , , , , , , , , , , ,36, , , , , , , , , , , , , , , , , , , ,
